# List created using the lists from:
# http://www.ncbi.nlm.nih.gov/books/NBK3827/table/pubmedhelp.pubmedhelptable45/
Brevia	Brevia. (Rome).
Changing men (Madison, Wis.)	Chang. Men
Changing times	Changing Times
Channels	Channels
Channels (Austin, Tex.)	Channels (Austin).
Chaos (Woodbury, N.Y.)	Chaos
Chaos, solitons, and fractals	Chaos. Solitons. Fractals
Character and personality	Character Pers.
Chart	Chart
Chatelaine (Toronto, Ont. : 1928)	Chatelaine
Check list (Luis Felipe Toledo)	Check List
Chekhoslovatskaia fiziologiia	Chekh. Fiziol.
ChemCatChem	ChemCatChem
ChemMedChem	ChemMedChem
ChemPlusChem	Chempluschem
ChemSusChem	ChemSusChem
Chembiochem : a European journal of chemical biology	Chembiochem
Chemia analityczna	Chem. Analityczna
Chemical & pharmaceutical bulletin	Chem. Pharm. Bull. (Tokyo).
Chemical and engineering news	Chem. Eng. News
Chemical biology & drug design	Chem. Biol. Drug Des.
Chemical communications (Cambridge, England)	Chem. Commun. (Camb).
Chemical educator (Boise, Idaho)	Chem. Educ.
Chemical engineering and processing = Genie des procedes = Verfahrenstechnik	Chem. Eng. Process.
Chemical engineering journal (Lausanne, Switzerland : 1996)	Chem. Eng. J.
Chemical health & safety	Chem. Health Saf.
Chemical heritage / CHF	Chem. Herit.
Chemical immunology and allergy	Chem. Immunol. Allergy
Chemical record (New York, N.Y.)	Chem. Rec.
Chemical science (Royal Society of Chemistry : 2010)	Chem. Sci.
Chemical senses	Chem. Senses
Chemical week	Chem. Week
Chemico-biological interactions	Chem. Biol. Interact.
Chemie der Erde : Beitrage zur chemischen Mineralogie, Petrographie und Geologie	Chem. Erde
Chemioterapia : international journal of the Mediterranean Society of Chemotherapy	Chemioterapia
Chemische Berichte	Chem. Ber.
Chemist-Analyst	Chem. Anal.
Chemistry	Chemistry (Easton).
Chemistry (Weinheim an der Bergstrasse, Germany)	Chemistry
Chemistry and physics of lipids	Chem. Phys. Lipids
Chemistry in Britain	Chem. Br.
Chemistry in Canada	Chem. Can.
Chemistry of materials : a publication of the American Chemical Society	Chem. Mater.
Chemistry, an Asian journal	Chem. Asian J.
Chemoecology	Chemoecology
Chemosphere	Chemosphere
Chemotherapia	Chemotherapia (Basel).
Chemotherapy	Chemotherapy
Chemphyschem : a European journal of chemical physics and physical chemistry	Chemphyschem
Chemtech	Chemtech
Chemtracts	Chemtracts
Chest	Chest
Chest surgery clinics of North America	Chest Surg. Clin. N. Am.
Chiba Igakkai zasshi. The Journal of Chiba Medical Society	J. Chiba Med. Soc.
Chiba Kenritsu Chuo Hakubutsukan shizenshi kenkyu hokoku = Journal of the Natural History Museum and Institute, Chiba	J. Nat. Hist. Mus. Inst. Chiba
Chicago bar record	Chicago Bar Rec.
Chicago history	Chic. Hist.
Chicago journal of international law	Chic. J. Int. Law
Chicago medicine	Chic. Med.
Chicago policy review	Chic. Pol. Rev.
Chicago studies	Chic. Stud.
Chicago today (University of Chicago)	Chic. Today
Chicago-Kent law review	Chic. Kent. Law Rev.
Chicano law review	Chicano Law Rev.
Child & adolescent psychopharmacology news	Child Adolesc. Psychopharmacol. News
Child & adolescent social work journal : C & A	Child Adolesc. Social Work J.
Child & youth care forum	Child Youth Care Forum
Child & youth services	Child Youth Serv.
Child abuse & neglect	Child Abuse Negl.
Child and adolescent mental health	Child Adolesc. Ment. Health
Child and adolescent psychiatric clinics of North America	Child Adolesc. Psychiatr. Clin. N. Am.
Child and adolescent psychiatry and mental health	Child Adolesc. Psychiatry Ment. Health
Child and family policy and practice review	Child Fam. Policy Pract. Rev.
Child care quarterly	Child Care Q.
Child health alert	Child Health Alert
Child health dialogue	Child Health Dialogue
Child maltreatment	Child Maltreat.
Child neuropsychology : a journal on normal and abnormal development in childhood and adolescence	Child Neuropsychol.
Child psychiatry and human development	Child Psychiatry Hum. Dev.
Child psychiatry quarterly	Child Psychiatry Q.
Child survival action news /	Child Surviv. Action News
Child welfare	Child Welfare
Child's brain	Childs. Brain
Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery	Childs. Nerv. Syst.
Child: care, health and development	Child. Care. Health Dev.
Childhood (Copenhagen, Denmark)	Childhood
Children	Children
Children and youth services review	Child. Youth Serv. Rev.
Children today	Child. Today
Children's health care : journal of the Association for the Care of Children's Health	Child. Health Care
Children's legal rights journal	Child. Leg. Rights J.
Children, youth and environments	Child. Youth Environ.
Chimerism	Chimerism
Chimia	Chimia (Aarau).
Chimica oggi	Chim. Oggi
China aktuell / Institut fur Asienkunde	China Aktuell
China journal (Canberra, A.C.T.)	China J.
China law and practice	China Law Pract.
China population research leads	China Popul. Res. Leads
China population today	China Popul. Today
China report (New Delhi, India)	China Rep.
China's medicine	Chinas. Med.
Chinese chemical letters = Zhongguo hua xue kuai bao	Chin. Chem. Lett.
Chinese culture	Chin. Cult.
Chinese economic studies	Chin. Econ. Stud.
Chinese environment & development (Armonk, N.Y.)	Chin. Environ. Dev.
Chinese geographical science / Sponsored by Changchun Institute of Geography, Chinese Academy of Sciences	Chin. Geogr. Sci.
Chinese journal of biotechnology	Chin. J. Biotechnol.
Chinese journal of cancer	Chin. J. Cancer
Chinese journal of cancer research = Chung-kuo yen cheng yen chiu	Chin. J. Cancer Res.
Chinese journal of digestive diseases	Chin. J. Dig. Dis.
Chinese journal of integrative medicine	Chin. J. Integr. Med.
Chinese journal of natural medicines	Chin. J. Nat. Med.
Chinese journal of population science	Chin. J. Popul. Sci.
Chinese journal of traumatology = Zhonghua chuang shang za zhi / Chinese Medical Association	Chin. J. Traumatol.
Chinese medical journal	Chin. Med. J. (Engl).
Chinese medical sciences journal = Chung-kuo i hsueh k'o hsueh tsa chih / Chinese Academy of Medical Sciences	Chin. Med. Sci. J.
Chinese medicine	Chin. Med.
Chinese science	Chin. Sci.
Chinese science bulletin = Kexue tongbao	Chin. Sci. Bull.
Chinese sociological review	Chin. Sociol. Rev.
Chinese sociology and anthropology	Chin. Sociol. Anthropol.
Chirality	Chirality
Chirigaku hyoron	Chirigaku Hyoron
Chiropodist (Society of Chiropodists)	Chiropodist (Lond).
Chiropractic & manual therapies	Chiropr. Man. Therap.
Chiropractic history : the archives and journal of the Association for the History of Chiropractic	Chiropr. Hist.
Chirurgia	Chirurgia (Bucur).
Chirurgia (Bucharest, Romania : 1990)	Chirurgia (Bucur).
Chirurgia e patologia sperimentale	Chir. Patol. Sper.
Chirurgia narzadow ruchu i ortopedia polska	Chir. Narzadow Ruchu Ortop. Pol.
Chirurgie de la main	Chir. Main
Chirurgie; memoires de l'Academie de chirurgie	Chirurgie
Chirurgisches Forum fur experimentelle und klinische Forschung	Chir. Forum Exp. Klin. Forsch.
Chitty's law journal	Chittys. Law J.
Choice (Chicago, Ill.)	Choice (Middletown).
Choices (New York, N.Y.)	Choices
Choices in respiratory management	Choices Respir. Manage.
Cholesterol	Cholesterol
Chosen i-bo. The Korean medical journal	Chosen Ibo.
Chot mai het kan phayaban	Chot Mai Het Kan Phayaban
Christ to the world	Christ World
Christian Science monitor (Boston, Mass. : 1983)	Christ. Sci. Monitor
Christian Science monitor (Boston, Mass. : Eastern ed.)	Christ. Sci. Monitor (East. Ed).
Christian century (Chicago, Ill. : 1902)	Christ. Century
Christian nurse	Christ. Nurse (Mysore).
Christian nurse international	Christ. Nurse Int.
Christiana Albertina; Kieler Universitats-Zeitschrift	Christiana Albertina. Kiel. Univ. Z.
Christianity and crisis	Christ. Crisis
Christianity today	Christ. Today
Chromatographia	Chromatographia
Chromosoma	Chromosoma
Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology	Chromosome Res.
Chronic diseases and injuries in Canada	Chronic Dis. Inj. Can.
Chronic diseases in Canada	Chronic Dis. Can.
Chronic respiratory disease	Chron. Respir. Dis.
Chronica horticulturae	Chron. Horticult.
Chronicle (Philadelphia, Pa. : 1990)	Chronicle (Phila).
Chronicle (Royal College of Physicians of Edinburgh)	Chron. R. Coll. Physicians Edinb.
Chronicle of the World Health Organization	Chron. World Health Organ.
Chronicles of Oklahoma	Chron. Okla.
Chronique d'Egypte; bulletin periodique de la Fondation egyptologique reine Elisabeth	Chron. Egypte.
Chroniques d'actualite de la S.E.D.E.I.S	Chron. Actual. SEDEIS.
Chronobiologia	Chronobiologia
Chudoku kenkyu : Chudoku Kenkyukai jun kikanshi = The Japanese journal of toxicology	Chudoku Kenkyu
Chungang Uidae chi = The Chung-Ang journal of medicine	Chung. Ang. Ui. Dai. Chi
Chungang uihak = The Korean central journal of medicine	Chungang Uihak
Ciba Foundation study group	Ciba Found. Study Group
Ciba symposia	CIBA Symp.
Ciba symposium. [English ed.]	Ciba Symp.
Ciba-Tijdschrift	Ciba-Tijdschr.
Ciba-Zeitschrift	Ciba. Z. (Basel).
Ciclos en la historia, la economia y la sociedad	Ciclos Hist. Econom. Soc.
Ciel et terre	Ciel Terre
Ciencia & saude coletiva	Cien. Saude Colet.
Ciencia (Mexico City, Mexico)	Cienc. Cienc. (Mex. City. Mex).
Ciencia Y Sociedad	Cienc. Soc.
Ciencia e cultura	Cienc. Cult.
Ciencia e investigacion	Cienc. Invest.
Ciencia y desarrollo	Cienc. Desarro.
Ciencias de la conducta : revista del Centro Caribeno de Estudios Post-Graduados	Cienc. Conducta
Ciencias medicas hispano-americanas	Cienc. Med. Hisp. Am.
Ciencias sociales y religion = Ciencias sociais e religiao	Cienc. Soc. Relig.
Cilia	Cilia
Cincinnati journal of medicine	Cinci. J. Med.
Circulation	Circulation
Circulation journal : official journal of the Japanese Circulation Society	Circ. J.
Circulation. Arrhythmia and electrophysiology	Circ. Arrhythm. Electrophysiol.
Circulation. Cardiovascular imaging	Circ. Cardiovasc. Imaging
Circulation. Cardiovascular quality and outcomes	Circ. Cardiovasc. Qual. Outcomes
Circulation. Heart failure	Circ. Heart Fail.
Circulo Odontologico De San Martin Y Tres De Febrero	Circ. Odontol. San Martin Tres Febr.
Cirugia ortopedica y traumatologia	Cir. Ortop. Traumatol.
Cirugia pediatrica : organo oficial de la Sociedad Espanola de Cirugia Pediatrica	Cir. Pediatr.
Cirugia y cirujanos	Cir. Cir.
Cirugia, ginecologia y urologia	Cir. Ginecol. Urol.
Cities (London, England)	Cities
Citizenship studies	Citizensh. Stud.
City & society (Washington, D.C.)	City Soc. (Wash).
City journal (New York, N.Y.)	City J.
Cityscape (Washington, D.C.)	Cityscape
Civil War times illustrated	Civ. War Times Illus.
Civil code annotated of the State of California / annotated and indexed by the publisher's editorial staff. California	Civ. Code Annot. State Calif. Calif.
Civil liberties	Civil Lib.
Civilisations	Civilisations
Cladistics : the international journal of the Willi Hennig Society	Cladistics
Classical world	Class. World
Clays and clay minerals	Clays Clay Miner.
Clearing house (Menasha, Wis.)	Clearing House
Clearinghouse review	Clgh. Rev.
Cleveland Clinic journal of medicine	Cleve. Clin. J. Med.
Cleveland Clinic quarterly	Cleve. Clin. Q.
Cleveland state law review	Clevel. State Law Rev.
Climacteric : the journal of the International Menopause Society	Climacteric
Climatic change	Clim. Change
Clinic (Paris, France)	Clinic (Paris).
Clinic odontologia : la revue de l'omnipraticien	Clin. Odontol.
Clinica (Bologna, Italy)	Clinica
Clinica (Valladolid, Spain)	Clinica (Valladolid).
Clinica chimica acta; international journal of clinical chemistry	Clin. Chim. Acta.
Clinica del torax	Clin. Torax
Clinica e investigacion en arteriosclerosis : publicacion oficial de la Sociedad Espanola de Arteriosclerosis	Clin. Investig. Arterioscler.
Clinica e investigacion en ginecologia y obstetricia	Clin. Invest. Ginecol. Obstet.
Clinica hispanica	Clin.. Hisp.
Clinica nuova; rassegna del progresso medico internazionale	Clin. Nuova. Rass. Prog. Med. Int.
Clinica odontoiatrica; revista mensile di operativa dentaria, chirurgia orale, ortodontia e protesi	Clin. Odontoiatr. Rev. Mens. Oper. Dent. Chir. Orale. Ortod. Protesi
Clinica y laboratorio	Clin. Lab. (Zaragoza).
Clinica, higiene e hidrologia	Clin. Hig. Hidrol.
Clinical & experimental metastasis	Clin. Exp. Metastasis
Clinical & experimental ophthalmology	Clin. Experiment. Ophthalmol.
Clinical & experimental optometry : journal of the Australian Optometrical Association	Clin. Exp. Optom.
Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico	Clin. Transl. Oncol.
Clinical EEG (electroencephalography)	Clin. Electroencephalogr.
Clinical EEG and neuroscience : official journal of the EEG and Clinical Neuroscience Society (ENCS)	Clin. EEG Neurosci.
Clinical advances in hematology & oncology : H&O	Clin. Adv. Hematol. Oncol.
Clinical allergy	Clin. Allergy
Clinical allergy and immunology	Clin. Allergy Immunol.
Clinical anatomy (New York, N.Y.)	Clin. Anat.
Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis	Clin. Appl. Thromb. Hemost.
Clinical and diagnostic laboratory immunology	Clin. Diagn. Lab. Immunol.
Clinical and diagnostic virology	Clin. Diagn. Virol.
Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology	Clin. Exp. Allergy
Clinical and experimental dermatology	Clin. Exp. Dermatol.
Clinical and experimental dialysis and apheresis	Clin. Exp. Dial. Apheresis
Clinical and experimental hypertension (New York, N.Y. : 1993)	Clin. Exp. Hypertens.
Clinical and experimental hypertension. Part A, Theory and practice	Clin. Exp. Hypertens. A.
Clinical and experimental hypertension. Part B, Hypertension in pregnancy	Clin. Exp. Hypertens. B.
Clinical and experimental vaccine research	Clin. Exp. Vaccine Res.
Clinical and investigative medicine. Medecine clinique et experimentale	Clin. Invest. Med.
Clinical and molecular allergy : CMA	Clin. Mol. Allergy
Clinical and translational allergy	Clin. Transl. Allergy
Clinical and vaccine immunology : CVI	Clin. Vaccine Immunol.
Clinical autonomic research : official journal of the Clinical Autonomic Research Society	Clin. Auton. Res.
Clinical breast cancer	Clin. Breast Cancer
Clinical calcium	Clin. Calcium
Clinical cancer research : an official journal of the American Association for Cancer Research	Clin. Cancer Res.
Clinical case studies	Clin. Case Stud.
Clinical cases in mineral and bone metabolism : the official journal of the Italian Society of Osteoporosis, Mineral Metabolism, and Skeletal Diseases	Clin. Cases Miner. Bone Metab.
Clinical chemistry and laboratory medicine : CCLM / FESCC	Clin. Chem. Lab. Med.
Clinical child and family psychology review	Clin. Child Fam. Psychol. Rev.
Clinical child psychology and psychiatry	Clin. Child Psychol. Psychiatry
Clinical colorectal cancer	Clin. Colorectal Cancer
Clinical cornerstone	Clin. Cornerstone
Clinical diabetes : a publication of the American Diabetes Association	Clin. Diabetes
Clinical drug investigation	Clin. Drug Investig.
Clinical endocrinology	Clin. Endocrinol. (Oxf).
Clinical engineering news	Clin. Eng. News
Clinical epigenetics	Clin. Epigenetics
Clinical ethics	Clin. Ethics
Clinical ethics report	Clin. Ethics Rep.
Clinical evidence	Clin. Evid. (Online).
Clinical excellence for nurse practitioners : the international journal of NPACE	Clin. Excell. Nurse Pract.
Clinical excerpts; a journal devoted to therapeutics	Clin. Excerpts. J. Devoted Ther.
Clinical eye and vision care	Clin. Eye Vis. Care
Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association	Clin. Gastroenterol. Hepatol.
Clinical genitourinary cancer	Clin. Genitourin. Cancer
Clinical imaging	Clin. Imaging
Clinical immunology (Orlando, Fla.)	Clin. Immunol.
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Clin. Infect. Dis.
Clinical intensive care : international journal of critical & coronary care medicine	Clin. Intensive Care
